invoice, id_buyer, id_seller, jumlah_barang, is_customer_linked
INV22-01-DR-d7f9-1666835303239,d7f9226db26c,e377a4d7a784,3,0
INV22-01-DR-d7f9-1666772897788,d7f9226db26c,e377a4d7a784,1,0
INV22-01-DR-3b6d-1666073070694,3b6d3fdd4329,e377a4d7a784,1,0
INV22-05-CH-3b6d-1666073070694,3b6d3fdd4329,e377a4d7a784,1,0
INV22-01-DR-f852-1666061373144,f852e0a2e954,e377a4d7a784,1,0
INV22-05-CH-f852-1666061373144,f852e0a2e954,e377a4d7a784,1,0
INV22-05-CH-e8cd-1665635349674,e8cd6c077f5c,e377a4d7a784,1,1
INV22-01-DR-e8cd-1665635349674,e8cd6c077f5c,e377a4d7a784,2,1
INV22-01-DR-e8cd-1665633719131,e8cd6c077f5c,e377a4d7a784,1,1
INV22-01-DR-e8cd-1665630402438,e8cd6c077f5c,e377a4d7a784,1,1
INV22-01-DR-e8cd-1665629728797,e8cd6c077f5c,e377a4d7a784,1,1
INV22-01-DR-e8cd-1665626605659,e8cd6c077f5c,e377a4d7a784,1,1
INV22-01-DR-e8cd-1665626437992,e8cd6c077f5c,e377a4d7a784,1,1
INV22-01-DR-e8cd-1665626285590,e8cd6c077f5c,e377a4d7a784,1,1
INV22-05-CH-e8cd-1665623388610,e8cd6c077f5c,e377a4d7a784,1,1
INV22-01-DR-1fc2-1665567390708,1fc2d2d7d068,e377a4d7a784,2,0
INV22-01-CH-6f55-1665566751158,6f5586f7a960,e377a4d7a784,2,0
INV22-05-CH-209e-1665462074187,209efa5018c2,e377a4d7a784,1,0
INV22-01-DR-209e-1665462074187,209efa5018c2,e377a4d7a784,1,0
INV22-03-FR-209e-1665462074187,209efa5018c2,e377a4d7a784,1,0
INV22-01-DR-209e-1665461752533,209efa5018c2,e377a4d7a784,2,0
INV22-01-DR-1fc2-1665456567120,1fc2d2d7d068,e377a4d7a784,3,0
INV22-03-EE-5e75-1665456128216,5e75e9f14b37,e377a4d7a784,1,0
INV22-03-FR-5e75-1665456128216,5e75e9f14b37,e377a4d7a784,1,0
INV22-01-DR-5e75-1665456128216,5e75e9f14b37,e377a4d7a784,5,0
INV22-01-CH-5e75-1665456128216,5e75e9f14b37,e377a4d7a784,1,0
INV22-03-EE-5e75-1665394130870,5e75e9f14b37,e377a4d7a784,1,0
INV22-01-DR-5e75-1665394130870,5e75e9f14b37,e377a4d7a784,2,0
INV22-01-DR-e8cd-1665393264154,e8cd6c077f5c,e377a4d7a784,5,1
INV22-01-AC-e8cd-1665393065006,e8cd6c077f5c,e377a4d7a784,1,1
INV22-03-FR-e8cd-1665393065006,e8cd6c077f5c,e377a4d7a784,1,1
INV22-03-CH-e8cd-1665393065006,e8cd6c077f5c,e377a4d7a784,1,1
INV22-01-DR-e8cd-1665393065006,e8cd6c077f5c,e377a4d7a784,1,1
INV22-01-CH-e8cd-1665392585082,e8cd6c077f5c,e377a4d7a784,1,1
INV22-01-DR-e8cd-1665392585082,e8cd6c077f5c,e377a4d7a784,1,1
INV22-01-DR-8846-1665388847221,88460b6776b0,e377a4d7a784,3,0
INV22-01-DR-aabd-1665377159998,aabde7c622f1,e377a4d7a784,3,0
INV22-01-CH-e8cd-1665041040380,e8cd6c077f5c,e377a4d7a784,1,1
INV22-01-DR-e8cd-1665041040380,e8cd6c077f5c,e377a4d7a784,1,1
INV22-01-DR-d7f9-1665040042107,d7f9226db26c,e377a4d7a784,1,0
INV22-01-DR-e8cd-1664594536482,e8cd6c077f5c,e377a4d7a784,2,1
INV22-01-DR-e8cd-1664593775091,e8cd6c077f5c,e377a4d7a784,2,1
INV22-01-DR-e8cd-1664520751430,e8cd6c077f5c,e377a4d7a784,2,1
INV22-01-CH-e8cd-1662610201187,e8cd6c077f5c,e377a4d7a784,1,1
